Filename,Genus,Species,Catalog Number,Sex,Surface,Region,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790
Psaos10m.tra,Psa,os,208364,m,10,scapulars,0,0,0.0292,0,0,0.4795,0.1844,0.043,0.4395,0.419,0.3727,0.3801,0.3793,0.3961,0.4711,0.4582,0.5435,0.5661,0.5192,0.6249,0.7983,0.9905,1.0913,1.22,1.4271,1.7534,2.076,2.427,2.8486,3.3013,3.8264,4.5689,5.1346,5.8704,6.7512,7.3944,8.2431,9.1164,10.2399,11.0815,12.0162,13.1547,14.1321,14.9989,16.0941,17.1499,18.7557,19.0165,19.3495,20.9294
Psaos11m.tra,Psa,os,208364,m,11,upper-back,0.1272,0,0.1625,0.0306,0.0247,0.7166,0.7353,0.4824,0.7601,0.695,0.6402,0.7006,0.7672,0.7301,0.7941,0.8073,0.8182,0.856,0.855,0.9113,1.0125,1.1514,1.2727,1.4049,1.5597,1.7093,1.9244,2.232,2.5278,2.8163,3.2254,3.657,4.1509,4.6084,5.0735,5.7048,6.2865,6.8892,7.5798,8.3194,9.0256,9.6847,10.6026,10.9745,11.8952,12.7377,13.3969,13.7208,14.553,15.9254
Psaos12m.tra,Psa,os,208364,m,12,middle-back,0.0642,0,0,0.0274,0.2681,0.8549,0.8691,0.8054,0.8701,0.8313,0.869,0.8879,0.9023,0.884,0.9332,0.9316,1.0047,1.1224,1.0723,1.2076,1.5171,1.8589,2.0796,2.3246,2.6416,3.0894,3.5353,4.0815,4.7626,5.3085,6.083,6.942,7.7618,8.6317,9.7069,10.7016,11.7752,12.8307,13.9777,15.1433,16.2445,17.4897,18.3715,19.5336,20.6298,21.9638,23.1831,24.1306,24.79,26.6931
Psaos13m.tra,Psa,os,208364,m,13,upper-rump,0.5917,0.0283,0.0904,0.3064,0.6983,0.9327,0.9001,0.8942,0.8986,0.8057,0.7791,0.7721,0.8122,0.7865,0.8592,0.8382,0.8779,0.991,0.9269,1.0218,1.2682,1.5006,1.7059,1.9412,2.213,2.5611,2.9827,3.5252,4.1205,4.6323,5.3321,6.1454,6.7337,7.521,8.5094,9.1082,10.0643,10.751,11.8133,12.5673,13.4371,14.3884,15.2233,15.958,16.7966,17.7858,19.0145,19.0415,19.4664,21.295
Psaos14m.tra,Psa,os,208364,m,14,lower-rump,0.6987,0.9562,0.5515,0.6144,0.6544,1.0041,0.9715,0.9727,1.16,0.984,0.9827,1.0527,1.0105,0.9842,1.0873,1.0591,1.1119,1.2203,1.2006,1.3338,1.6124,1.9453,2.2329,2.4543,2.7645,3.1685,3.6637,4.1876,4.7611,5.4335,6.1921,6.9334,7.691,8.4252,9.3391,10.1574,11.2066,11.9333,12.7754,13.783,14.5015,15.4795,16.2698,16.8754,17.7224,18.8127,19.8445,20.2081,20.9513,21.9209
Psaos15m.tra,Psa,os,208364,m,15,upper-tail-coverts,1.8268,1.7269,1.6529,1.6516,1.6607,1.9353,1.8841,1.8214,1.8351,1.8412,1.8715,1.8602,1.8601,1.8741,1.9314,1.9181,1.9985,2.0899,2.0627,2.2365,2.6524,3.1316,3.5351,3.8624,4.3294,4.9421,5.5581,6.2423,7.1183,7.8611,8.7722,9.8297,10.7629,11.7904,13.0192,14.0282,15.1104,16.2598,17.5231,18.6085,19.6132,20.9079,22.0502,23.0053,23.8635,25.2489,26.5211,26.7702,27.112,29.5589
Psaos16m.tra,Psa,os,208364,m,16,anterior-flank,1.4063,1.7639,2.3727,2.8855,3.5727,3.9413,3.7639,3.4382,2.9816,2.4129,2.0403,1.6536,1.355,1.2492,1.2898,1.1505,1.438,1.7149,1.4208,2.0173,5.1956,11.9036,17.3693,20.0258,21.7731,23.2678,24.0218,24.8537,25.8925,26.2167,26.7288,27.5234,27.876,28.3041,29.0474,29.3458,29.9506,30.4648,30.9768,31.1418,31.5818,32.0726,32.2181,32.8128,33.0743,33.5482,34.2996,34.4473,34.371,35.1708
Psaos17m.tra,Psa,os,208364,m,17,posterior-flank,0.3934,0.344,0.6072,0.3142,0.8569,1.2,0.9656,0.9995,1.1396,1.1532,1.0276,1.1071,1.0773,1.0534,1.1587,1.149,1.2428,1.3244,1.3017,1.4497,1.7072,2.0157,2.2229,2.4709,2.8186,3.263,3.7864,4.277,4.9167,5.5307,6.303,7.1311,7.7748,8.5507,9.473,10.0833,10.8456,11.6672,12.5113,13.3113,13.8258,14.7099,15.6495,16.291,16.8018,17.7181,18.7806,18.9907,19.2478,20.2839
Psaos18m.tra,Psa,os,208364,m,18,throat,1.9759,2.1764,2.2542,2.1921,2.2106,2.4916,2.523,2.6866,2.9794,3.1604,3.3868,3.8654,4.073,4.4928,4.8995,5.0796,5.7427,6.5062,6.5028,7.2318,8.9809,10.4734,11.3591,11.869,12.4841,13.2337,13.7105,14.194,14.8808,15.184,15.6884,16.4068,16.8704,17.5004,18.2039,18.5444,19.198,19.8253,20.3788,20.8018,21.2967,21.9643,22.3342,22.6714,23.1548,23.889,24.7004,24.7368,24.6661,25.6243
Psaos19m.tra,Psa,os,208364,m,19,breast,1.1536,1.4005,2.0591,2.3463,2.3933,2.7168,2.5272,2.4803,2.4798,2.2687,1.9083,1.7773,1.4827,1.4331,1.435,1.2834,1.5961,2.0316,1.7121,2.346,5.4328,11.0155,15.0295,16.7549,17.8966,18.9496,19.4768,19.9805,20.656,20.892,21.1999,21.8569,22.0646,22.6107,23.1723,23.4355,23.8331,24.1724,24.5557,24.8166,24.8219,25.2051,25.7212,25.9703,26.1453,26.6531,27.5762,27.0346,26.1738,27.8669
